docid,summarize_frequency,summarize_initial,summarize_other,summarize_random
9404003,0.08021390374331551,0.32085561497326204,0.10160427807486631,0.053475935828877004
9404004,0.20454545454545456,0.10227272727272728,0.20454545454545456,0.03409090909090909
9404009,0.1099476439790576,0.07853403141361257,0.11518324607329843,0.031413612565445025
9404010,0.030120481927710843,0.04819277108433735,0.03614457831325301,0.018072289156626505
9405001,0.1377245508982036,0.04790419161676647,0.15568862275449102,0.04790419161676647
9405002,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.015151515151515152
9405010,0.30303030303030304,0.2828282828282828,0.30303030303030304,0.04040404040404041
9405011,0.05343511450381679,0.08396946564885496,0.1297709923664122,0.030534351145038167
9405013,0.11363636363636363,0.25,0.14772727272727273,0.125
9405018,0.09090909090909091,0.10101010101010101,0.15151515151515152,0.0
9405022,0.125,0.18269230769230768,0.11538461538461539,0.038461538461538464
9405023,0.11538461538461539,0.057692307692307696,0.14423076923076922,0.0673076923076923
9405028,0.12605042016806722,0.025210084033613446,0.18487394957983194,0.12605042016806722
9405033,0.20634920634920634,0.047619047619047616,0.07936507936507936,0.06349206349206349
9405035,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.11428571428571428
9407001,0.11,0.07,0.18,0.06
9407009,0.03821656050955414,0.14012738853503184,0.29936305732484075,0.03821656050955414
9407010,0.01694915254237288,0.05084745762711865,0.05084745762711865,0.01694915254237288
9407011,0.08333333333333333,0.023809523809523808,0.07142857142857142,0.047619047619047616
9407015,0.0660377358490566,0.02830188679245283,0.1320754716981132,0.009433962264150943
9408003,0.2727272727272727,0.30303030303030304,0.45454545454545453,0.0
9408004,0.046875,0.0625,0.046875,0.109375
9408006,0.044444444444444446,0.13333333333333333,0.044444444444444446,0.0
9408010,0.04310344827586207,0.16379310344827586,0.08620689655172414,0.034482758620689655
9408011,0.12658227848101267,0.06329113924050633,0.11392405063291139,0.02531645569620253
9408013,0.10317460317460317,0.031746031746031744,0.1111111111111111,0.03968253968253968
9408014,0.06086956521739131,0.034782608695652174,0.12173913043478261,0.017391304347826087
9408015,0.1308411214953271,0.037383177570093455,0.102803738317757,0.018691588785046728
9409004,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.1111111111111111
9410001,0.14285714285714285,0.05102040816326531,0.20918367346938777,0.025510204081632654
9410005,0.061224489795918366,0.05102040816326531,0.08163265306122448,0.07142857142857142
9410006,0.015037593984962405,0.06766917293233082,0.03759398496240601,0.23308270676691728
9410008,0.04819277108433735,0.04819277108433735,0.0963855421686747,0.03614457831325301
9410009,0.05970149253731343,0.029850746268656716,0.08955223880597014,0.04477611940298507
9410012,0.08745247148288973,0.07604562737642585,0.11026615969581749,0.057034220532319393
9410022,0.03225806451612903,0.053763440860215055,0.05913978494623656,0.03225806451612903
9410032,0.2535211267605634,0.11267605633802817,0.43661971830985913,0.028169014084507043
9410033,0.125,0.08333333333333333,0.1388888888888889,0.1111111111111111
9411001,0.0449438202247191,0.02247191011235955,0.07865168539325842,0.033707865168539325
9411021,0.03488372093023256,0.046511627906976744,0.12790697674418605,0.05813953488372093
9411023,0.0,0.0,0.0,0.03333333333333333
9411025,0.08823529411764706,0.029411764705882353,0.125,0.051470588235294115
9411028,0.11351351351351352,0.33513513513513515,0.08648648648648649,0.03783783783783784
9412003,0.0106951871657754,0.0748663101604278,0.016042780748663103,0.026737967914438502
9412005,0.06474820143884892,0.05755395683453238,0.10071942446043165,0.02877697841726619
9412008,0.0963855421686747,0.3855421686746988,0.07228915662650602,0.25301204819277107
9501001,0.0244926522043387,0.00979706088173548,0.01959412176347096,0.02309307207837649
9502003,0.14655172413793102,0.04310344827586207,0.16379310344827586,0.02586206896551724
9502004,0.14102564102564102,0.11538461538461539,0.20512820512820512,0.0
9502005,0.08045977011494253,0.39080459770114945,0.06896551724137931,0.04597701149425287
9502006,0.09259259259259259,0.07407407407407407,0.09259259259259259,0.009259259259259259
9502009,0.0684931506849315,0.0136986301369863,0.0684931506849315,0.0547945205479452
9502014,0.03225806451612903,0.06451612903225806,0.11290322580645161,0.016129032258064516
9502015,0.044642857142857144,0.125,0.13392857142857142,0.044642857142857144
9502018,0.21875,0.328125,0.1640625,0.09375
9502021,0.02702702702702703,0.04054054054054054,0.02702702702702703,0.02702702702702703
9502022,0.03076923076923077,0.12307692307692308,0.07692307692307693,0.03076923076923077
9502024,0.032,0.016,0.032,0.008
